ORF	Name	R1.Ratio	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
1	YHR007C	ERG11	1.12359550561798	1.19047619047619	1.31578947368421	0.87719298245614	0.840336134453782	0.383141762452107	0.434782608695652
2	YAL065C		0.909090909090909	0.65359477124183	1.13636363636364	0.970873786407767	0.78125	1.12359550561798	1.23456790123457
3	YAR062W		0.75187969924812	1.14942528735632	1.0989010989011	0.925925925925926	0.628930817610063	1.17647058823529	1.35135135135135
4	YDR006C	SOK1	1.11111111111111	0.833333333333333	0.458715596330275	0.334448160535117	0.348432055749129	0.671140939597315	0.546448087431694
5	YDR007W	TRP1	1.04166666666667	1.02040816326531	1.05263157894737	0.78740157480315	0.980392156862745	1.06382978723404	0.952380952380952
6	YDR008C		1	1.04166666666667	1.13636363636364	1.04166666666667	1.06382978723404	1.61290322580645	1.17647058823529
7	YDR009W	GAL3	0.714285714285714	0.862068965517241	0.909090909090909	0.826446280991736	0.854700854700855	1.40845070422535	2.27272727272727
8	YDR010c		0.8	0.793650793650794	0.943396226415094	0.793650793650794	0.675675675675676	1.05263157894737	1.28205128205128
9	YDR011W	SNQ2	0.952380952380952	0.78125	0.641025641025641	0.617283950617284	0.65359477124183	0.383141762452107	0.746268656716418
10	YDR012W	RPL2B	1.0752688172043	1.0989010989011	1.21951219512195	1.08695652173913	1.01010101010101	0.4739336492891	0.224719101123595
11	YDR013w		0.847457627118644	0.91743119266055	0.813008130081301	0.719424460431655	0.862068965517241	0.684931506849315	0.78740157480315
12	YDR014w		0.746268656716418	0.884955752212389	1.23456790123457	0.840336134453782	0.925925925925926	1.75438596491228	1.35135135135135
13	YDR015c		0.628930817610063	0.8	0.854700854700855	0.769230769230769	1.04166666666667	1.31578947368421	1.19047619047619
14	YAR064W		0.91743119266055	1.69491525423729	0.943396226415094	0.87719298245614	0.613496932515337	0.87719298245614	0.943396226415094
15	YDR016c		0.892857142857143	1	1.11111111111111	0.980392156862745	1.04166666666667	1.40845070422535	0.826446280991736
